Image_name (no spaces - separate using underscores),Is there an error (Y/N),error1,error2,error3,error4,error5
Inconsistance_delay.PNG.png,Y,Inconsistance delay.PNG error,,,,
Inconsistance_delay_solution.PNG.png,N,,,,,
notUsingArgumentInFunction.PNG.png,Y,notUsingArgumentInFunction.PNG error,,,,
notUsingArgumentInFunction_solution.PNG.png,N,,,,,
serialprintuse.PNG.png,Y,serialprintuse.PNG error,,,,
serialprintuse_solution.PNG.png,N,,,,,
usingwrongbaudrate.PNG.png,Y,usingwrongbaudrate.PNG error,,,,
usingwrongbaudrate_solution.PNG.png,N,,,,,
wrongOperator.PNG.png,Y,wrongOperator.PNG error,,,,
wrongOperator_solution.PNG.png,N,,,,,
wrongcondition.PNG.png,Y,wrongcondition.PNG error,,,,
wrongcondition_solution.PNG.png,N,,,,,
wrongvariablenames.PNG.png,Y,wrongvariablenames.PNG error,,,,
wrongvariablenames_solution.PNG.png,N,,,,,
